| 1 Jan | Fri | [New Year's Day](https://publicholidays.in/new-years-day/) | AR, ML, MN, MZ, NL,PY, RJ, SK, TG &TN |
| 2 Jan | Sat | [New Year Holiday](https://publicholidays.in/new-years-day/) | MZ |
| 2 Jan | Sat | Mannam Jayanti | KL |
| 11 Jan | Mon | [Missionary Day](https://publicholidays.in/missionary-day/) | MZ |
| 12 Jan | Tue | [Swami Vivekananda Jayanti](https://publicholidays.in/swami-vivekananda-jayanti/) | WB |
| 14 Jan | Thu | [Makara Sankranti](https://publicholidays.in/makara-sankranti/) | DD, DN, GJ, KA, SK& TG |
| 14 Jan | Thu | Magh Bihu | AS |
| 15 Jan | Fri | [Guru Gobind Singh Jayanti](https://publicholidays.in/guru-gobind-singh-jayanti/) | AR, CH, HR, JK, OR,PB & RJ |
| 15 Jan | Fri | [Pongal](https://publicholidays.in/pongal/) | AP, AR, PY & TN |
| 15 Jan | Fri | [Thiruvalluvar Day](https://publicholidays.in/thiruvalluvar-day/) | PY & TN |
| 16 Jan | Sat | Kanuma Panduga | AP |
| 16 Jan | Sat | Uzhavar Thirunal | TN |
| 20 Jan | Wed | Gaan-Ngai | MN |
| 23 Jan | Sat | Thaipoosam | TN |
| 23 Jan | Sat | [Netaji Subhas Chandra Bose Jayanti](https://publicholidays.in/netaji-subhas-chandra-bose-jayanti/) | JH, OR, TR & WB |
| 25 Jan | Mon | State Day | HP |
| 26 Jan | Tue | [Republic Day](https://publicholidays.in/republic-day/) | National |
| 31 Jan | Sun | Me-Dum-Me-Phi | AS |
| 7 Feb | Sun | Sonam Losar | SK |
| 7 Feb | Sun | Losar | SK |
| 11 Feb | Thu | [Vasant Panchami](https://publicholidays.in/vasant-panchami/) | AR, HR, OR, TR &WB |
| 15 Feb | Mon | Lui-Ngai-Ni | MN |
| 19 Feb | Fri | Chhatrapati Shivaji Maharaj Jayanti | AR & MH |
| 20 Feb | Sat | State Day | AR & MZ |
| 20 Feb | Sat | [Guru Ravidas Jayanti](https://publicholidays.in/guru-ravidas-jayanti/) | HP, HR, MP & PB |
| 5 Mar | Fri | Chapchar Kut | MZ |
| 5 Mar | Fri | Panchayatiraj Divas | OR |
| 5 Mar | Fri | Jumat-ul-Wida | JK |
| 6 Mar | Sat | [Maha Shivaratri](https://publicholidays.in/maha-shivaratri/) | National except AN, AR, AS,BR, DL, GA, LD, MN,ML, MZ, NL, PY, SK,TN & WB |
| 7 Mar | Sun | Shab-i-Qadr | JK |
| 10 Mar | Wed | [Idul Fitr](https://publicholidays.in/ramazan-idul-fitr/) | National |
| 11 Mar | Thu | [Idul Fitr Holiday](https://publicholidays.in/ramazan-idul-fitr/) | TG |
| 22 Mar | Mon | [Holi](https://publicholidays.in/holi/) | National except KA, KL, LD,MN, PY, TN & WB |
| 22 Mar | Mon | [Bihar Day](https://publicholidays.in/bihar-day/) | BR |
| 22 Mar | Mon | Yaosang | MN |
| 22 Mar | Mon | Doljatra | WB |
| 23 Mar | Tue | [S. Bhagat Singh's Martyrdom Day](https://publicholidays.in/s-bhagat-singhs-martyrdom-day/) | HR & PB |
| 23 Mar | Tue | Yaosang 2nd Day | MN |
| 25 Mar | Thu | [Maundy Thursday](https://publicholidays.in/easter/) | KL |
| 26 Mar | Fri | [Good Friday](https://publicholidays.in/easter/) | National except HR & JK |
| 27 Mar | Sat | [Easter Saturday](https://publicholidays.in/easter/) | NL |
| 28 Mar | Sun | [Easter Sunday](https://publicholidays.in/easter/) | KL & NL |
| 1 Apr | Thu | [Odisha Day](https://publicholidays.in/odisha-day/) | OR |
| 5 Apr | Mon | [Babu Jagjivan Ram Jayanti](https://publicholidays.in/babu-jagjivan-ram-jayanti/) | AP & TG |
| 7 Apr | Wed | Sajibu Nongmapanba (Cheiraoba) | MN |
| 8 Apr | Thu | [Ugadi](https://publicholidays.in/ugadi/) | AP, DD, DN, GA, GJ,JK, KA, RJ & TG |
| 8 Apr | Thu | Telugu New Year | TN |
| 8 Apr | Thu | Parkash Gurpurab of Sri Guru Ram Dass Ji | PB |
| 8 Apr | Thu | Gudi Padwa | MH & MP |
| 9 Apr | Fri | [Sarhul](https://publicholidays.in/sarhul/) | JH |
| 14 Apr | Wed | [Vaisakh](https://publicholidays.in/vaisakh/) | HR, JK & PB |
| 14 Apr | Wed | Biju Festival | TR |
| 14 Apr | Wed | [Dr Ambedkar Jayanti](https://publicholidays.in/dr-ambedkar-jayanti/) | National except AN, AR, AS,CH, DN, DD, DL, LD,MN, ML, MZ, NL &TR |
| 14 Apr | Wed | [Tamil New Year](https://publicholidays.in/tamil-new-year/) | TN |
| 14 Apr | Wed | Maha Vishuba Sankranti | OR |
| 14 Apr | Wed | [Bohag Bihu](https://publicholidays.in/bohag-bihu/) | AR & AS |
| 14 Apr | Wed | Cheiraoba | MN |
| 15 Apr | Thu | [Ram Navami](https://publicholidays.in/ram-navami/) | National except AR, AS, KA,KL, LD, MN, ML, MZ,NL, PY, TN, TR &WB |
| 15 Apr | Thu | [Vishu](https://publicholidays.in/vishu/) | KL |
| 15 Apr | Thu | [Bohag Bihu Holiday](https://publicholidays.in/bohag-bihu/) | AR & AS |
| 15 Apr | Thu | [Bengali New Year](https://publicholidays.in/bengali-new-year/) | TR & WB |
| 15 Apr | Thu | [Himachal Day](https://publicholidays.in/himachal-day/) | HP |
| 19 Apr | Mon | [Mahavir Jayanti](https://publicholidays.in/mahavir-jayanti/) | CG, CH, DD, DL, DN,GJ, HR, JH, KA, LD,MH, MP, MZ, OR, PB,RJ, TN & UP |
| 21 Apr | Wed | Garia Puja | TR |
| 1 May | Sat | [Maharashtra Day](https://publicholidays.in/maharashtra-day/) | MH |
